"symptom","category","subcategory","question","question_korean","id","source","is_relevant","labeler"
"C259 상세불명의 췌장의 악성 신생물","Review of systems","digestive","Have you experienced unexplained weight loss or loss of appetite?","설명할 수 없는 체중 감소나 식욕 부진이 있었나요?",163,"gpt-4-turbo",NA,NA
"C259 상세불명의 췌장의 악성 신생물","Review of systems","digestive","Have you noticed any changes in your digestive function or unusual digestive symptoms?","소화 기능의 변화나 평소와 다른 소화 증상을 느낀 적이 있습니까?",164,"gpt-4-turbo",NA,NA
"C259 상세불명의 췌장의 악성 신생물","Past medical history","risk factors","Do you have a history of chronic pancreatitis or diabetes?","만성 췌장염이나 당뇨병의 병력이 있습니까?",165,"gpt-4-turbo",NA,NA
"C259 상세불명의 췌장의 악성 신생물","Lifestyle details","alcohol use","Can you tell me about your alcohol consumption habits?","음주 습관에 대해 말씀해 주시겠습니까?",166,"gpt-4-turbo",NA,NA
"기타 명시된 두통증후군[양측] 분류기호 G448","Details of the complaint","timing","Do your headaches occur at specific times of the day?","두통이 하루 중 특정 시간에 발생하나요?",167,"gpt-4-turbo",NA,NA
"기타 명시된 두통증후군[양측] 분류기호 G448","Details of the complaint","location","Are the headaches localized to one area or do they affect your whole head?","두통이 한 부위에 국한되거나 전체 머리에 영향을 주나요?",168,"gpt-4-turbo",NA,NA
"기타 명시된 두통증후군[양측] 분류기호 G448","Review of systems","visual disturbances","Do you experience any visual disturbances with your headaches, like blurriness or flashing lights?","두통이 있을 때 시각 장애, 예를 들어 흐릿한 시야나 번쩍이는 빛을 경험하나요?",169,"gpt-4-turbo",NA,NA
"기타 명시된 두통증후군[양측] 분류기호 G448","Review of systems","nausea","Do you feel nauseous or vomit when you have a headache?","두통이 있을 때 메스꺼움이나 구토를 느끼나요?",170,"gpt-4-turbo",NA,NA
"기타 명시된 두통증후군[양측] 분류기호 G448","Review of systems","sensitivity","Are you more sensitive to light or sound when experiencing a headache?","두통이 있을 때 빛이나 소리에 더 민감하나요?",171,"gpt-4-turbo",NA,NA
"기타 명시된 두통증후군[양측] 분류기호 G448","Review of systems","sleep disturbances","Do your headaches affect your sleep patterns?","두통이 수면 패턴에 영향을 미치나요?",172,"gpt-4-turbo",NA,NA
"기타 음낭수종(N432), 재발성, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장(K4031), 당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 인슐린-비의존 당뇨병(E1150), 고혈압(동맥성, 본태성, 일차성, 전신)(I109), 복수를 동반한 알코올성 간경변증(K7031)","Details of the complaint","severity","How severe is the pain or discomfort associated with hernia?","탈장과 관련된 통증이나 불편함이 얼마나 심합니까?",173,"gpt-4-turbo",NA,NA
"기타 음낭수종(N432), 재발성, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장(K4031), 당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 인슐린-비의존 당뇨병(E1150), 고혈압(동맥성, 본태성, 일차성, 전신)(I109), 복수를 동반한 알코올성 간경변증(K7031)","Details of the complaint","location","Do you experience any pain or swelling specifically in the scrotum area?","음낭 부위에 특별히 통증이나 부어오름을 경험하신 적이 있습니까?",174,"gpt-4-turbo",NA,NA
"기타 음낭수종(N432), 재발성, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장(K4031), 당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 인슐린-비의존 당뇨병(E1150), 고혈압(동맥성, 본태성, 일차성, 전신)(I109), 복수를 동반한 알코올성 간경변증(K7031)","Details of the complaint","timing","Does the scrotum discomfort increase with physical activity or while standing?","신체 활동 중이나 서있을 때 음낭의 불편함이 증가합니까?",175,"gpt-4-turbo",NA,NA
"기타 음낭수종(N432), 재발성, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장(K4031), 당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 인슐린-비의존 당뇨병(E1150), 고혈압(동맥성, 본태성, 일차성, 전신)(I109), 복수를 동반한 알코올성 간경변증(K7031)","Review of systems","vascular health","Have you noticed any changes in the color or temperature of your feet?","발의 색깔이나 온도에 변화를 느낀 적이 있습니까?",176,"gpt-4-turbo",NA,NA
"기타 음낭수종(N432), 재발성, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장(K4031), 당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 인슐린-비의존 당뇨병(E1150), 고혈압(동맥성, 본태성, 일차성, 전신)(I109), 복수를 동반한 알코올성 간경변증(K7031)","Review of systems","liver function","Have you experienced any yellowing of your skin or eyes?","피부나 눈의 황변을 경험하신 적이 있습니까?",177,"gpt-4-turbo",NA,NA
"기타 음낭수종(N432), 재발성, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장(K4031), 당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 인슐린-비의존 당뇨병(E1150), 고혈압(동맥성, 본태성, 일차성, 전신)(I109), 복수를 동반한 알코올성 간경변증(K7031)","Review of systems","circulatory symptoms","Do you feel any numbness or tingling in your limbs?","사지에 저림이나 감각이상을 느끼신 적이 있습니까?",178,"gpt-4-turbo",NA,NA
"기타 음낭수종(N432), 재발성, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장(K4031), 당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 인슐린-비의존 당뇨병(E1150), 고혈압(동맥성, 본태성, 일차성, 전신)(I109), 복수를 동반한 알코올성 간경변증(K7031)","Lifestyle details","alcohol consumption","Can you describe your average alcohol consumption per week?","주당 평균 얼마나 많은 알코올을 섭취하십니까?",179,"gpt-4-turbo",NA,NA
"기타 음낭수종(N432), 재발성, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장(K4031), 당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 인슐린-비의존 당뇨병(E1150), 고혈압(동맥성, 본태성, 일차성, 전신)(I109), 복수를 동반한 알코올성 간경변증(K7031)","Review of systems","abdominal symptoms","Have you noticed an increase in abdominal girth or new-onset ascites?","복부 둘레가 증가하거나 새로 발생한 복수를 느낀 적이 있습니까?",180,"gpt-4-turbo",NA,NA
"R/0 Irritable bowel syndrome, Reflux esophagitis","Details of the complaint","severity","How severe is your abdominal pain on a scale of 1 to 10?","복통의 심각성을 1에서 10까지의 척도로 얼마나 됩니까?",181,"gpt-4-turbo",NA,NA
"R/0 Irritable bowel syndrome, Reflux esophagitis","Details of the complaint","timing","Do you notice your symptoms occurring more frequently after eating or during periods of stress?","식사 후나 스트레스를 받을 때 증상이 더 자주 나타나나요?",182,"gpt-4-turbo",NA,NA
"R/0 Irritable bowel syndrome, Reflux esophagitis","Review of systems","gastrointestinal","Have you experienced any changes in your bowel habits?","배변 습관에 변화가 있었습니까?",183,"gpt-4-turbo",NA,NA
"R/0 Irritable bowel syndrome, Reflux esophagitis","Review of systems","gastrointestinal","Have you noted an increase in gas or bloating?","가스가 많아지거나 복부 팽만감을 느낀 적이 있습니까?",184,"gpt-4-turbo",NA,NA
"R/0 Irritable bowel syndrome, Reflux esophagitis","Details of the complaint","aggravating factors","Are there specific foods or activities that worsen your abdominal symptoms?","특정 음식이나 활동이 복부 증상을 악화시키나요?",185,"gpt-4-turbo",NA,NA
"R/0 Irritable bowel syndrome, Reflux esophagitis","Review of systems","gastroesophageal","Do you often feel heartburn or acid reflux, especially after eating?","식사 후 특히 자주 가슴 앓이나 위산 역류를 느끼나요?",186,"gpt-4-turbo",NA,NA
"R/0 Irritable bowel syndrome, Reflux esophagitis","Review of systems","gastroesophageal","Have you noticed any difficulty swallowing?","삼키는 데 어려움을 겪은 적이 있습니까?",187,"gpt-4-turbo",NA,NA
"신경뿌리병증을 동반한 요추 및 기타 추간판장애 (G55.1*), 척추전방전위증, 요추부","Details of the complaint","severity","How would you rate your back pain on a scale from 1 to 10?","허리 통증의 정도를 1부터 10까지의 척도로 평가해 주시겠습니까?",188,"gpt-4-turbo",NA,NA
"신경뿌리병증을 동반한 요추 및 기타 추간판장애 (G55.1*), 척추전방전위증, 요추부","Details of the complaint","timing","Does your back pain occur more frequently during certain times of the day or after specific activities?","특정 시간이나 활동 후에 허리 통증이 더 자주 발생합니까?",189,"gpt-4-turbo",NA,NA
"신경뿌리병증을 동반한 요추 및 기타 추간판장애 (G55.1*), 척추전방전위증, 요추부","Details of the complaint","associated symptoms","Do you experience numbness or tingling sensations in your legs?","다리에 저림 또는 따끔거림을 느낀 적이 있습니까?",190,"gpt-4-turbo",NA,NA
"신경뿌리병증을 동반한 요추 및 기타 추간판장애 (G55.1*), 척추전방전위증, 요추부","Review of systems","neurological","Have you noticed any weakness in your legs or difficulty walking?","다리가 약해지거나 걷기 어려운 적이 있습니까?",191,"gpt-4-turbo",NA,NA
"신경뿌리병증을 동반한 요추 및 기타 추간판장애 (G55.1*), 척추전방전위증, 요추부","Details of the complaint","aggravating factors","Are there any movements or postures that worsen your back pain?","허리 통증을 악화시키는 동작이나 자세가 있습니까?",192,"gpt-4-turbo",NA,NA
"신경뿌리병증을 동반한 요추 및 기타 추간판장애 (G55.1*), 척추전방전위증, 요추부","Review of systems","mobility","Has there been a decrease in the range of motion in your lower back?","허리의 움직임 범위가 감소된 적이 있습니까?",193,"gpt-4-turbo",NA,NA
"CAOD","Details of the complaint","severity","How severe is the pain in your legs during activity or at rest?","활동 중이거나 휴식 시 다리의 통증이 얼마나 심합니까?",194,"gpt-4-turbo",NA,NA
"CAOD","Details of the complaint","timing","Do symptoms of leg pain improve with rest?","휴식을 취하면 다리 통증 증상이 개선됩니까?",195,"gpt-4-turbo",NA,NA
"CAOD","Associated symptoms","coolness","Have you noticed any unusual coolness in your legs or feet?","다리나 발에서 평소와 다른 차가움을 느낀 적이 있습니까?",196,"gpt-4-turbo",NA,NA
"CAOD","Associated symptoms","skin color changes","Are there any changes in the skin color of your legs or feet?","다리나 발의 피부색에 변화가 있습니까?",197,"gpt-4-turbo",NA,NA
"CAOD","Review of systems","walking capability","Have you experienced any limitations in walking distances or climbing stairs?","거리를 걷거나 계단을 오르는데 제한을 경험한 적이 있습니까?",198,"gpt-4-turbo",NA,NA
"양안 노인성 백내장","Details of the complaint","vision changes","Have you noticed any changes in your vision, such as blurriness or decreased vision?","시력이 흐려지거나 감소하는 등 시력 변화를 느낀 적이 있습니까?",199,"gpt-4-turbo",NA,NA
"양안 노인성 백내장","Details of the complaint","light sensitivity","Do you experience increased sensitivity to light or glare?","빛에 대한 민감성이나 눈부심이 증가했습니까?",200,"gpt-4-turbo",NA,NA
"양안 노인성 백내장","Details of the complaint","color perception","Have you noticed any changes in how you perceive colors?","색상 인식에 변화를 느낀 적이 있습니까?",201,"gpt-4-turbo",NA,NA
"양안 노인성 백내장","Details of the complaint","night vision","Have you experienced any difficulties with night vision?","야간 시력에 어려움을 겪은 적이 있습니까?",202,"gpt-4-turbo",NA,NA
"양안 노인성 백내장","Review of systems","visual performance","Has there been any recent incident where poor vision affected your daily activities?","시력 저하로 일상 활동에 지장을 받은 최근 사례가 있습니까?",203,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Review of systems","gastrointestinal","Have you experienced any abdominal pain or discomfort?","복통이나 불편함을 경험한 적이 있습니까?",204,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Review of systems","appetite","Have you noticed any changes in your appetite, such as a decrease or aversion to food?","식욕 감소 또는 음식에 대한 거부감과 같은 식욕 변화를 느낀 적이 있습니까?",205,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Review of systems","weight","Have you lost weight unintentionally?","의도하지 않은 체중 감소가 있었습니까?",206,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Review of systems","nausea","Have you experienced nausea or vomiting?","메스꺼움이나 구토 증상이 있었습니까?",207,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Past medical history","liver disease","Do you have a history of liver disease or hepatitis?","간 질환 또는 간염의 병력이 있습니까?",208,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Review of systems","jaundice","Have you noticed any yellowing of your skin or eyes?","피부 또는 눈의 황달(노란색으로 변함)을 눈치챈 적이 있습니까?",209,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Review of systems","fatigue","Do you feel unusually tired or fatigued?","평소보다 피곤하거나 피로를 느낀 적이 있습니까?",210,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Family medical history","liver cancer","Is there any family history of liver cancer?","가족 중에 간암 병력이 있습니까?",211,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Lifestyle","alcohol use","Do you consume alcohol? If so, how frequently and how much?","술을 마십니까? 그렇다면, 얼마나 자주 얼마나 많이 마십니까?",212,"gpt-4-turbo",NA,NA
"R/0 HCC 의심","Past medical history","hepatotoxic drugs","Have you taken any medications known to be harmful to the liver?","간에 해로운 알려진 약물을 복용한 적이 있습니까?",213,"gpt-4-turbo",NA,NA
"좌측 내경동맥 협착/뇌실질 위축","History of the present illness","symptom duration","When did you first notice symptoms related to left carotid artery stenosis or cerebral atrophy?","좌측 내경동맥 협착이나 뇌실질 위축과 관련된 증상을 처음으로 느낀 시기는 언제입니까?",214,"gpt-4-turbo",NA,NA
"좌측 내경동맥 협착/뇌실질 위축","Details of the complaint","location","Do you feel discomfort or pain in specific areas of your head or neck?","머리나 목 특정 부위에서 불편함이나 통증을 느끼십니까?",215,"gpt-4-turbo",NA,NA
"좌측 내경동맥 협착/뇌실질 위축","Details of the complaint","severity","How severe would you rate the symptoms on a scale from 1 to 10?","증상의 심각성을 1에서 10까지의 척도로 어떻게 평가하시겠습니까?",216,"gpt-4-turbo",NA,NA
"좌측 내경동맥 협착/뇌실질 위축","Details of the complaint","timing","Are the symptoms continuous, or do they come and go?","증상이 지속되나요, 아니면 왔다 갔다 하나요?",217,"gpt-4-turbo",NA,NA
"좌측 내경동맥 협착/뇌실질 위축","Details of the complaint","aggravating factors","Are there specific activities or situations that worsen your symptoms?","증상을 악화시키는 특정 활동이나 상황이 있습니까?",218,"gpt-4-turbo",NA,NA
"좌측 내경동맥 협착/뇌실질 위축","Review of systems","neurological","Have you experienced any changes in your speech, vision, or balance?","말하기, 시력, 혹은 균형 감각에 변화가 있었습니까?",219,"gpt-4-turbo",NA,NA
"좌측 내경동맥 협착/뇌실질 위축","Review of systems","cognitive","Have you noticed any recent changes in memory or other cognitive functions?","최근에 기억력이나 다른 인지 기능의 변화를 느꼈습니까?",220,"gpt-4-turbo",NA,NA
"좌측 내경동맥 협착/뇌실질 위축","Review of systems","symptoms","Do you experience frequent headaches, and if so, can you describe the type?","자주 두통을 경험하시나요? 있다면, 그 유형을 설명해 주실 수 있습니까?",221,"gpt-4-turbo",NA,NA
"좌측 내경동맥 협착/뇌실질 위축","Review of systems","functional impact","Has there been a noticeable impact on your daily activities or work due to your symptoms?","증상으로 인해 일상 활동이나 업무에 눈에 띄는 영향이 있었습니까?",222,"gpt-4-turbo",NA,NA
"상세불명의 척주측만증","Details of the complaint","location","Do you feel pain in a specific area of your spine?","척추의 특정 부위에 통증을 느끼십니까?",223,"gpt-4-turbo",NA,NA
"상세불명의 척주측만증","Details of the complaint","severity","How severe is the pain on a scale from 1 to 10?","통증의 심각성을 1에서 10까지의 척도로 어떻게 평가하시겠습니까?",224,"gpt-4-turbo",NA,NA
"상세불명의 척주측만증","Details of the complaint","timing","Is the pain worse at a specific time of day?","하루 중 특정 시간에 통증이 더 심합니까?",225,"gpt-4-turbo",NA,NA
"상세불명의 척주측만증","Details of the complaint","associated symptoms","Have you experienced any numbness or tingling along with the curvature?","측만증과 함께 저림이나 따끔거림을 경험한 적이 있습니까?",226,"gpt-4-turbo",NA,NA
"상세불명의 척주측만증","Details of the complaint","aggravating factors","Are there specific activities or positions that increase your pain or discomfort?","통증이나 불편함을 증가시키는 특정 활동이나 자세가 있습니까?",227,"gpt-4-turbo",NA,NA
"상세불명의 척주측만증","Review of systems","posture","Have you noticed any changes in your posture or the way you walk?","자세나 걸음걸이에 변화를 느낀 적이 있습니까?",228,"gpt-4-turbo",NA,NA
"상세불명의 척주측만증","Review of systems","mobility","Has the curvature affected your ability to perform daily activities?","측만증이 일상 활동 수행 능력에 영향을 미쳤습니까?",229,"gpt-4-turbo",NA,NA
"CA-125>L 197 w/l 2314 e 21","Details of the complaint","severity","Have you experienced any worsening of symptoms recently?","최근 증상이 악화된 적이 있습니까?",230,"gpt-4-turbo",NA,NA
"CA-125>L 197 w/l 2314 e 21","Review of systems","abdominal","Have you felt any abdominal pain or discomfort?","복통이나 불편함을 느낀 적이 있습니까?",231,"gpt-4-turbo",NA,NA
"CA-125>L 197 w/l 2314 e 21","Review of systems","gastrointestinal","Have you experienced any changes in appetite or unusual weight loss?","식욕 변화나 평소와 다른 체중 감소를 경험한 적이 있습니까?",232,"gpt-4-turbo",NA,NA
"CA-125>L 197 w/l 2314 e 21","Review of systems","urinary","Have you noticed any changes in your urinary habits or discomfort while urinating?","소변 습관의 변화나 배뇨 시 불편함을 느낀 적이 있습니까?",233,"gpt-4-turbo",NA,NA
"상세불명의 자궁의 평활근종 D259","Details of the complaint","severity","How severe is your pelvic pain on a scale of 1 to 10?","통증의 심각성을 1부터 10까지의 척도로 어떻게 평가하시나요?",234,"gpt-4-turbo",NA,NA
"상세불명의 자궁의 평활근종 D259","Details of the complaint","timing","Do you notice increased pelvic pain during your menstrual cycle?","생리 기간 중 골반 통증이 심해지나요?",235,"gpt-4-turbo",NA,NA
"상세불명의 자궁의 평활근종 D259","Details of the complaint","timing","Do you experience heavy menstrual bleeding?","생리 출혈이 과도하게 많습니까?",236,"gpt-4-turbo",NA,NA
"상세불명의 자궁의 평활근종 D259","Details of the complaint","timing","Have you experienced any irregular menstrual cycles?","생리주기가 불규칙한 적이 있습니까?",237,"gpt-4-turbo",NA,NA
"상세불명의 자궁의 평활근종 D259","Review of systems","urinary symptoms","Have you experienced frequent urination?","자주 소변을 보게 됩니까?",238,"gpt-4-turbo",NA,NA
"상세불명의 자궁의 평활근종 D259","Review of systems","gastrointestinal symptoms","Have you had difficulty with bowel movements?","배변 시 불편함을 겪은 적이 있나요?",239,"gpt-4-turbo",NA,NA
"상세불명의 자궁의 평활근종 D259","Details of the complaint","associated symptoms","Have you noticed any changes in your weight recently?","최근 몸무게의 변화를 느낀 적이 있나요?",240,"gpt-4-turbo",NA,NA
"폐경 및 여성의 갱년기상태 N951, 자궁경부의 염증성 질환 N72, 성교후 및 접촉 출혈 N930, 유방의 행동양식 불명 또는 미상의 신생물/왼쪽 D4861, 상세불명의 자궁의 평활근종 D259","Details of the complaint","associated symptoms","Have you experienced any hot flashes, night sweats, or mood swings?","안면 홍조, 야간 발한 또는 기분 변화를 경험한 적이 있습니까?",241,"gpt-4-turbo",NA,NA
"폐경 및 여성의 갱년기상태 N951, 자궁경부의 염증성 질환 N72, 성교후 및 접촉 출혈 N930, 유방의 행동양식 불명 또는 미상의 신생물/왼쪽 D4861, 상세불명의 자궁의 평활근종 D259","Details of the complaint","severity","How severe is the pain during or after sexual intercourse?","성교 중이나 성교 후 통증의 정도는 어떻습니까?",242,"gpt-4-turbo",NA,NA
"폐경 및 여성의 갱년기상태 N951, 자궁경부의 염증성 질환 N72, 성교후 및 접촉 출혈 N930, 유방의 행동양식 불명 또는 미상의 신생물/왼쪽 D4861, 상세불명의 자궁의 평활근종 D259","Review of systems","reproductive system","Have you noticed any irregular vaginal bleeding or discharge?","비정상적인 질 출혈이나 분비물을 발견한 적이 있습니까?",243,"gpt-4-turbo",NA,NA
"폐경 및 여성의 갱년기상태 N951, 자궁경부의 염증성 질환 N72, 성교후 및 접촉 출혈 N930, 유방의 행동양식 불명 또는 미상의 신생물/왼쪽 D4861, 상세불명의 자궁의 평활근종 D259","Review of systems","breast","Have you found any lumps or changes in the texture of your breasts?","유방에 혹 또는 질감의 변화를 발견한 적이 있습니까?",244,"gpt-4-turbo",NA,NA
"폐경 및 여성의 갱년기상태 N951, 자궁경부의 염증성 질환 N72, 성교후 및 접촉 출혈 N930, 유방의 행동양식 불명 또는 미상의 신생물/왼쪽 D4861, 상세불명의 자궁의 평활근종 D259","Details of the complaint","location","Do you experience any specific localized pain or discomfort in the pelvic area?","골반 부위에 특정한 국소적 통증이나 불편함이 있습니까?",245,"gpt-4-turbo",NA,NA
"기타 명시된 폐경 및 폐경전후 장애 N958","Details of the complaint","severity","How severe are your symptoms related to menopause?","폐경과 관련된 증상의 심각성은 어느 정도입니까?",246,"gpt-4-turbo",NA,NA
"기타 명시된 폐경 및 폐경전후 장애 N958","Details of the complaint","timing","When did you first notice symptoms related to menopause?","폐경 관련 증상을 처음 언제 눈치채셨습니까?",247,"gpt-4-turbo",NA,NA
"기타 명시된 폐경 및 폐경전후 장애 N958","Details of the complaint","aggravating factors","Have you noticed anything in particular that worsens your menopausal symptoms?","폐경 증상을 악화시키는 특별한 것을 눈치채신 적이 있습니까?",248,"gpt-4-turbo",NA,NA
"기타 명시된 폐경 및 폐경전후 장애 N958","Review of systems","emotional wellbeing","Have you experienced mood swings, anxiety, or depression during this period?","이 기간 동안 기분 변화, 불안 혹은 우울을 경험하셨습니까?",249,"gpt-4-turbo",NA,NA
"기타 명시된 폐경 및 폐경전후 장애 N958","Review of systems","sleep pattern","How has your sleep pattern changed since experiencing menopausal symptoms?","폐경 증상을 겪은 후 수면 패턴에 어떤 변화가 있었습니까?",250,"gpt-4-turbo",NA,NA
"기타 명시된 폐경 및 폐경전후 장애 N958","Review of systems","thermal sensation","Do you experience hot flashes or changes in body temperature regulation?","열감이나 체온 조절의 변화를 경험하셨습니까?",251,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","History of the present illness","duration since diagnosis","How long has it been since you were first diagnosed with your current condition?","현재 진단받은 상태가 시작된 지 얼마나 되었습니까?",252,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Details of the complaint","location","Can you specify the exact location of your symptoms?","증상의 정확한 위치를 지정할 수 있습니까?",253,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Details of the complaint","severity","On a scale from 1 to 10, how would you rate the severity of your symptoms?","1부터 10까지의 척도로 증상의 심각성을 어떻게 평가하시겠습니까?",254,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Details of the complaint","timing","Do your symptoms appear continuously or intermittently?","증상은 지속적으로 나타나나요, 아니면 간헐적으로 나타나나요?",255,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Details of the complaint","aggravating factors","Are there specific activities, foods, or situations that worsen your symptoms?","증상을 악화시키는 특정 활동, 음식 또는 상황이 있습니까?",256,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Details of the complaint","associated symptoms","Are there any other symptoms associated with your main complaint?","주요 불만과 관련된 다른 증상이 있습니까?",257,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Past medical and surgical history","specific conditions","Have you been diagnosed with any other medical conditions in the past?","과거에 다른 의학적 질환 진단을 받은 적이 있습니까?",258,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Past medical and surgical history","surgeries","Have you undergone any surgeries?","수술을 받은 적이 있습니까?",259,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Allergies","drugs","Do you have any known drug allergies?","알려진 약물 알레르기가 있습니까?",260,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Allergies","foods","Do you have any known food allergies?","알려진 음식 알레르기가 있습니까?",261,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Current medications","list of medications","What medications are you currently taking?","현재 복용 중인 약물이 무엇입니까?",262,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Family medical history","family diseases","Are there any significant diseases that run in your family?","가족 중에 주요 질환이 있습니까?",263,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Lifestyle details","alcohol and tobacco use","Do you consume alcohol or use tobacco products?","알코올을 섭취하거나 담배 제품을 사용하십니까?",264,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Lifestyle details","weight changes","Have you experienced any significant weight changes recently?","최근에 체중 변화가 있었습니까?",265,"gpt-4-turbo",NA,NA
"환자 상태 및 의뢰내용","Review of systems","general symptoms","Are you experiencing any other symptoms that we haven't discussed?","아직 논의하지 않은 다른 증상이 있습니까?",266,"gpt-4-turbo",NA,NA
"G560 손목터널증후군, M5422 경추통 및 경부의증","Details of the complaint","severity","How severe is the pain in your wrist and neck on a scale of 1 to 10?","손목과 목의 통증이 1에서 10 사이로 얼마나 심합니까?",267,"gpt-4-turbo",NA,NA
"G560 손목터널증후군, M5422 경추통 및 경부의증","Details of the complaint","timing","Do you experience the pain in your wrist and neck more during the day or at night?","손목과 목의 통증은 주로 낮에 더 심하나요, 아니면 밤에 더 심하나요?",268,"gpt-4-turbo",NA,NA
"G560 손목터널증후군, M5422 경추통 및 경부의증","Details of the complaint","aggravating factors","What activities exacerbate your wrist and neck pain?","어떤 활동을 할 때 손목과 목의 통증이 더 심해집니까?",269,"gpt-4-turbo",NA,NA
"G560 손목터널증후군, M5422 경추통 및 경부의증","Review of systems","neurological","Have you noticed any numbness, tingling, or weakness in your hands or fingers?","손이나 손가락에 감각이 무디어지거나, 저릿저릿하거나, 약해진 적이 있습니까?",270,"gpt-4-turbo",NA,NA
"G560 손목터널증후군, M5422 경추통 및 경부의증","Review of systems","neurological","Do you experience any unusual sensations or changes in feeling in your arms or shoulders?","팔이나 어깨에 평소와 다른 감각이나 느낌의 변화를 경험한 적이 있습니까?",271,"gpt-4-turbo",NA,NA
"G560 손목터널증후군, M5422 경추통 및 경부의증","Review of systems","functional status","Has the pain in your wrist or neck affected your daily activities or ability to work?","손목이나 목의 통증이 일상 활동이나 일하는 능력에 영향을 미쳤습니까?",272,"gpt-4-turbo",NA,NA
"위의 체부의 악성 신생물/ 상세불명 C1629","Details of the complaint","severity","How would you rate the pain in your upper abdomen on a scale from 1 to 10?","위 복부의 통증을 1부터 10까지의 척도로 어떻게 평가하시겠습니까?",273,"gpt-4-turbo",NA,NA
"위의 체부의 악성 신생물/ 상세불명 C1629","Details of the complaint","timing","Do you experience pain more frequently after meals or on an empty stomach?","식후 또는 공복일 때 더 자주 통증을 느끼십니까?",274,"gpt-4-turbo",NA,NA
"위의 체부의 악성 신생물/ 상세불명 C1629","Details of the complaint","aggravating factors","Are there specific foods or activities that increase your abdominal pain?","특정 음식이나 활동으로 인해 복통이 증가합니까?",275,"gpt-4-turbo",NA,NA
"위의 체부의 악성 신생물/ 상세불명 C1629","Review of systems","digestive system","Have you experienced any recent changes in appetite or unintended weight loss?","최근 식욕 변화나 의도하지 않은 체중 감소를 경험하셨습니까?",276,"gpt-4-turbo",NA,NA
"위의 체부의 악성 신생물/ 상세불명 C1629","Review of systems","general symptoms","Have you noticed any unusual fatigue or weakness?","평소와 다른 피로나 약함을 느끼셨습니까?",277,"gpt-4-turbo",NA,NA
"위의 체부의 악성 신생물/ 상세불명 C1629","Review of systems","digestive system","Have you had any nausea, vomiting, or changes in bowel habits?","메스꺼움, 구토 또는 배변 습관의 변화가 있습니까?",278,"gpt-4-turbo",NA,NA
"급성 C형간염 B171","Details of the complaint","symptom onset","When did you first notice symptoms related to hepatitis C, such as fatigue or jaundice?","피로나 황달과 같은 C형 간염 관련 증상을 처음으로 눈치챈 시기는 언제입니까?",279,"gpt-4-turbo",NA,NA
"급성 C형간염 B171","Review of systems","gastrointestinal","Have you experienced any abdominal pain or unusual bowel movements?","복통이나 평소와 다른 배변 활동을 경험한 적이 있습니까?",280,"gpt-4-turbo",NA,NA
